City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
135,geraldton,-28.7667,114.6,24.23,69,100,6.17,AU,1674437092
136,vouliagmeni,37.8167,23.7833,15.29,84,3,0.89,GR,1674437093
137,yarmouth,41.7057,-70.2286,6.26,90,100,3.6,US,1674437093
138,sapulpa,35.9987,-96.1142,4.43,70,100,2.57,US,1674436951
139,saint-philippe,-21.3585,55.7679,23.77,86,100,1.86,RE,1674437094
140,nanortalik,60.1432,-45.2371,-5.8,60,100,2.09,GL,1674437095
141,mildura,-34.2,142.15,30.04,43,34,2.19,AU,1674436947
142,osypenko,46.9136,36.8253,-0.15,85,88,7.21,UA,1674437095
143,bathsheba,13.2167,-59.5167,26.34,78,40,10.29,BB,1674437096
144,provideniya,64.3833,-173.3,-18.94,65,75,13.0,RU,1674437096
145,kamenka,51.3223,42.7678,-6.2,81,98,4.16,RU,1674437097
146,taman,45.2117,36.7161,5.4,79,100,5.45,RU,1674437097
147,pangkalanbuun,-2.6833,111.6167,26.46,84,100,1.25,ID,1674437098
148,luderitz,-26.6481,15.1594,18.1,87,5,6.73,NA,1674437098
149,cap malheureux,-19.9842,57.6142,24.7,84,100,0.89,MU,1674437099
150,salinopolis,-0.6136,-47.3561,24.96,89,48,5.16,BR,1674437099
151,lebu,-37.6167,-73.65,15.25,90,0,4.82,CL,1674437100
152,conde,-7.2597,-34.9075,25.7,89,20,2.57,BR,1674437101
153,henties bay,-22.116,14.2845,18.53,87,96,2.43,NA,1674437101
154,lovozero,68.005,35.0117,-6.46,85,99,2.9,RU,1674437102
155,tasiilaq,65.6145,-37.6368,-9.91,58,11,3.49,GL,1674437102
156,castro,-24.7911,-50.0119,17.8,97,100,1.79,BR,1674437103
157,lompoc,34.6391,-120.4579,13.21,52,0,7.2,US,1674437103
158,nakamura,32.9833,132.9333,7.65,97,100,1.56,JP,1674437104
159,ormara,25.2088,64.6357,14.89,35,7,9.42,PK,1674437104
160,marsh harbour,26.5412,-77.0636,24.2,83,21,6.72,BS,1674437105
161,oistins,13.0667,-59.5333,26.05,78,40,10.29,BB,1674437105
162,laguna,38.421,-121.4238,12.64,43,0,8.23,US,1674437105
163,kez,57.8979,53.7152,-22.59,100,96,1.21,RU,1674437106
164,puerto ayora,-0.7393,-90.3518,24.19,96,46,0.89,EC,1674437106
165,avarua,-21.2078,-159.775,27.03,78,100,3.09,CK,1674437107
166,quatre cocos,-20.2078,57.7625,25.06,81,100,2.75,MU,1674437107
167,hasaki,35.7333,140.8333,4.22,89,100,6.16,JP,1674437107
168,brae,60.3964,-1.353,8.18,92,100,5.84,GB,1674437108
169,le moule,16.3332,-61.3473,24.02,100,9,0.89,GP,1674437108
170,sfantu gheorghe,45.8667,25.7833,5.15,90,15,2.29,RO,1674437109
171,kavaratti,10.5669,72.642,26.57,70,26,4.45,IN,1674437109
172,lavrentiya,65.5833,-171.0,-28.76,94,71,5.19,RU,1674437110
173,padang,-0.9492,100.3543,24.03,92,100,1.66,ID,1674437111
